11,"The Savage",1917,"Mon Nov 19 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama","Rupert Julian","Elliott J. Clawson, Elliott J. Clawson","Ruth Clifford, Colleen Moore, Monroe Salisbury, Allan Sears","unknown",,"tt0008538",,,"movie"
12,"Betsy Ross",1917,"Mon Sep 17 1917 00:00:00 GMT+1200 (STD)","60","USA","Biography, Drama, Romance","George Cowl, Travers Vale","Henry A. Du Souchet","Alice Brady, John Bowers, Lillian Cook, Victor Kennard","Revolutionary War heroine Betsy Ross finds herself in competition with her sister for the affections of a British soldier.","http://ia.media-imdb.com/images/M/MV5BMjE3NDM5NTI3Nl5BMl5BanBnXkFtZTcwOTQ2MDc0NQ@@._V1_SX300.jpg","tt0007698","4.9","25","movie"
13,"The Torture of Silence",1917,"Wed Mar 07 1917 00:00:00 GMT+1300 (DST)","80","France","Drama","Abel Gance","Abel Gance","Emmy Lynn, Firmin Gémier, Armand Tallier, Anthony Gildès","unknown",,"tt0008279","6.6","68","movie"
14,"When a Man Sees Red",1917,"Sun Oct 28 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama","Frank Lloyd","Larry Evans, Frank Lloyd","William Farnum, Jewel Carmen, Lulu May Bower, Cora Drew","unknown","http://ia.media-imdb.com/images/M/MV5BMTcwOTkyNDgxOF5BMl5BanBnXkFtZTgwNzYxMjU1NzE@._V1_SX300.jpg","tt0008763",,,"movie"
15,"Tepeyac",1917,"unknown","90","Mexico","Drama","Carlos E. González, José Manuel Ramos, Fernando Sáyago","Carlos E. González, José Manuel Ramos","Roberto Arroyo Carrillo, Pilar Cota, Beatriz de Córdova, Luis García Carrillo","A man (Arroyo Carrillo) is sent to Europe on a diplomatic mission. The ship in which he travels is sunk by a German submarine. In Mexico, his girlfriend Lupita (Cota) receives a telegram with the news and looks for relief in La Virgen de Guadalupe, saint patron of catholic mexicans. After reading a book about the Virgin legend, Lupita falls asleep. Next morning, she receives good news, her boyfriend is alive. Together they go to La Villa del Tepeyac (a church devoted to La Virgen de Guadalupe) and thank for the miracle.",,"tt0008662","5.3","12","movie"
16,"A Modern Musketeer",1917,"Sun Dec 30 1917 00:00:00 GMT+1300 (DST)","68","USA","Adventure, Comedy, Western","Allan Dwan","Allan Dwan, E.P. Lyle Jr.","Douglas Fairbanks, Marjorie Daw, Kathleen Kirkham, Eugene Ormonde","Ned Thacker, through prenatal suggestion, is born in Kansas with the spirit of D'Artagnan, of Gascony, and, naturally, his gallantries are very much misunderstood by maids and matrons of today, but when he falls in love with Dorothy Morane it takes something more than a millionaire rival to head him off, and it takes even more than a half-crazed Indian guide and the face of the Grand Canyon to keep him from the lady of his choice; not even her mother can do that.","http://ia.media-imdb.com/images/M/MV5BMDA0ZjRhNjAtMjk2Yi00ZTMwLTgxYmYtZGIwYTdmODg1YjJmXkEyXkFqcGdeQXVyNTUxODQ0MDk@._V1_SX300.jpg","tt0008309","6.6","197","movie"
17,"Raffles, the Amateur Cracksman",1917,"Sat Dec 15 1917 00:00:00 GMT+1300 (DST)","70","USA","Adventure, Crime, Romance","George Irving","E.W. Hornung, Anthony Paul Kelly, Eugene Wiley Presbrey","John Barrymore, Christine Mayo, H. Cooper Cliffe, Frank Morgan","unknown","http://ia.media-imdb.com/images/M/MV5BMTMwMzcwNDQ5OF5BMl5BanBnXkFtZTcwMzU1NDE2Mw@@._V1_SX300.jpg","tt0008489","6.6","58","movie"
18,"The Monk and the Woman",1917,"unknown","66","Australia","unknown","Franklyn Barrett","Frederick Melville","Charles Beetham, Maud Fane, Hugh Huntley, Mattie Ive","unknown",,"tt0134825",,,"movie"
19,"The Fighting Gringo",1917,"Mon Mar 26 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Western, Adventure","Fred Kelsey","Maude George, Henry Wallace Phillips","Harry Carey, Claire Du Brey, George Webb, Rex De Rosselli","unknown",,"tt0007942","4.6","18","movie"
20,"The Adventurer",1917,"Thu Feb 15 1917 00:00:00 GMT+1300 (DST)","50","USA","Drama","Alice Guy","Harry Chandlee, Lawrence McCloskey, Upton Sinclair, Paul West","Marian Swayne, Pell Trenton, Ethel Stanard, Kirke Brown","unknown","http://ia.media-imdb.com/images/M/MV5BZDhjMWFjM2EtN2YzNS00YWRhLWEwMjUtZTg4ZTg0MGQ1NTMxXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg","tt0007614",,,"movie"
21,"The Divorce Game",1917,"Mon Jun 25 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Comedy, Drama","Travers Vale","Leo Ditrichstein, Frances Marion","Alice Brady, John Bowers, Arthur Ashley, Kate Lester","unknown",,"tt0007861",,,"movie"
22,"The Scrapper",1917,"Sat Jun 09 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Short, Western","John Ford","John Ford","John Ford, Louise Granville, Duke Worne, Jean Hathaway","unknown",,"tt0008547","4.7","20","movie"
23,"The Cinderella Man",1917,"Sun Dec 16 1917 00:00:00 GMT+1300 (DST)","60","USA","Comedy","George Loane Tucker","Edward Childs Carpenter, George Loane Tucker","Mae Marsh, Tom Moore, Alec B. Francis, George Fawcett","unknown","https://images-na.ssl-images-amazon.com/images/M/MV5BZDhiYWI0MzctMTQ3ZS00NDU2LTgxYzUtNjQyNGFlNTlkODk5XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg","tt0007795","6.9","29","movie"
24,"War Dogs",1917,"Sun Dec 30 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Documentary, Short","unknown","unknown","unknown","unknown",,"tt1373261",,,"movie"
25,"Stop! Luke! Listen!",1917,"Sun Jul 15 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Comedy, Short","Hal Roach","unknown","Harold Lloyd, Bebe Daniels, 'Snub' Pollard, Bud Jamison","unknown",,"tt0008632",,,"movie"
26,"Satan's Rhapsody",1917,"Sun Jul 01 1917 00:00:00 GMT+1200 (STD)","55","Italy","Short, Drama, Fantasy","Nino Oxilia","Alberto Fassini, Alberto Fassini, Fausto Maria Martini","Lyda Borelli, Andrea Habay, Ugo Bazzini, Giovanni Cini","Rapsodia Satanica (1915) was the last film directed by Nino Oxilia and is undoubtedly one of the finest achievements of the early Italian cinema. In it, Oxilia spins a variation on the Faust myth, embodied here by the diva Lyda Borelli. Typical of extravagant D'Annunzian aestheticism at its height, Rapsodia Satanica was one of the summits of what was later called the ""tail coat film." Diametrically opposed to the "cinema of reality" practiced by Serena, Martoglio and others, "tail coat films" set their melodramatic stories in the salons and villas of the upper middle class and the aristocracy, deploying narrative structures contrived to showcase their actors and especially its actresses. This had the effect of accentuating their physical presence and turning them into stars - probably the first stars in movie history. The success of the "dive" contributed to the development of motion picture grammar in its special use of the close-up.","https://images-na.ssl-images-amazon.com/images/M/MV5BYTlhZjkyNWItOWY1NC00ZThiLWI3Y2YtYmQxZTQ0ZDdmMDg3XkEyXkFqcGdeQXVyMzg1NTE4MTc@._V1_SX300.jpg","tt0005951","6.9","276","movie"
27,"'49-'17",1917,"Mon Oct 15 1917 00:00:00 GMT+1300 (DST)","61","USA","Western","Ruth Ann Baldwin","William Wallace Cook, Ruth Ann Baldwin","Joseph W. Girard, Leo Pierson, William Dyer, Mattie Witting","A judge who had taken part in the gold rush of 1849 hires an acting troupe to recreate the experience in this rather fanciful silent Western. The make-believe turns serious when a real gold-mine is discovered nearby and a local girl is kidnapped by a nasty gambler.",,"tt0007610","5.6","138","movie"
28,"Lulu",1917,"unknown","unknown","Hungary","unknown","Alexander Antalffy","Frank Wedekind","Erna Morena, Adolf Klein, Harry Liedtke, Rolf Brunner","unknown",,"tt0008232",,,"movie"
29,"Thais",1917,"Thu Oct 04 1917 00:00:00 GMT+1300 (DST)","35","Italy","Short","Anton Giulio Bragaglia","Riccardo Cassano","Augusto Bandini, Alberto Casanova, Thaïs Galitzky, Ileana Leonidoff","unknown",,"tt0007439","5.6","77","movie"
30,"The Babes in the Woods",1917,"Sun Dec 02 1917 00:00:00 GMT+1300 (DST)","50","USA","Drama, Family, Fantasy","Chester M. Franklin, Sidney Franklin","Jacob Grimm, Wilhelm Grimm, Bernard McConville","Francis Carpenter, Virginia Lee Corbin, Violet Radcliffe, 'Baby' Carmen De Rue","unknown","http://ia.media-imdb.com/images/M/MV5BMjEzNzQ4ODg1Nl5BMl5BanBnXkFtZTYwMjQ4MTg5._V1_SX300.jpg","tt0007669","5.9","11","movie"
31,"Move On",1917,"Sun Dec 09 1917 00:00:00 GMT+1300 (DST)","5","USA","Comedy, Short","Billy Gilbert, Gilbert Pratt","H.M. Walker","Harold Lloyd, 'Snub' Pollard, Bebe Daniels, W.L. Adams","Our hero is a police officer who gets involved in a crap game, flirting with a nurse and other amusements.",,"tt0008331","4.9","39","movie"
32,"Cenere",1917,"Mon Dec 03 1917 00:00:00 GMT+1300 (DST)","30","Italy","Short, Drama","Febo Mari, Arturo Ambrosio","Grazia Deledda, Eleonora Duse, Febo Mari","Eleonora Duse, Febo Mari, Nietta Mordeglia, Ettore Casarotti","Set in Sardinia, a barren and disconsolate land, where Rosalia, a poor young mother, entrusts her only son, Anania, to the natural father, who is well-off and already married. The years ...","http://ia.media-imdb.com/images/M/MV5BMTY4MzMwNDc3M15BMl5BanBnXkFtZTgwMzU2Njk1MDE@._V1_SX300.jpg","tt0006494","6.5","89","movie"
33,"Cleopatra",1917,"Sun Oct 14 1917 00:00:00 GMT+1300 (DST)","125","USA","Biography, Drama, History","J. Gordon Edwards","Adrian Johnson, Émile Moreau, Victorien Sardou","Theda Bara, Fritz Leiber, Thurston Hall, Alan Roscoe","The story of Cleopatra, the fabulous queen of Egypt, and the epic romances between her and the greatest men of Rome, Julius Caesar and Antony.","http://ia.media-imdb.com/images/M/MV5BMTY2MDUzNjI5NF5BMl5BanBnXkFtZTgwMzEwMTgxMjE@._V1_SX300.jpg","tt0007801","5.9","256","movie"
34,"The Great Secret",1917,"Mon Jan 08 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Action, Adventure","Christy Cabanne","Christy Cabanne, Fred De Gresac, James Young Deer","Francis X. Bushman, Beverly Bayne, Fred R. Stanton, Edward Connelly","A wealthy young athlete comes to the aid of a beautiful heiress, whose fortune is being threatened by two arch villains, The Great Master and Doctor Zulph.",,"tt0008031",,,"movie"
35,"The Winged Mystery",1917,"Sun Nov 11 1917 00:00:00 GMT+1300 (DST)","50","USA","Mystery, War","Joseph De Grasse","Archer MacMackin, William Parker","Franklyn Farnum, Claire Du Brey, Rosemary Theby, Charles Hill Mailes","unknown",,"tt0008777",,,"movie"
36,"Wild and Woolly",1917,"Sun Jun 24 1917 00:00:00 GMT+1200 (STD)","72","USA","Comedy, Western, Romance","John Emerson","Horace B. Carpenter, John Emerson, Anita Loos","Douglas Fairbanks, Eileen Percy, Calvert Carter, Charles Stevens","A rich young Easterner who has always wanted to live in ""the Wild West" plans to move to a Western town. Unknown to him, the town's "wild" days are long gone, and it is an orderly, civilized place now. The townsmen, not wanting to lose a rich potential resident, contrive to make over the town to suit the young man's fantasy.",,"tt0008775","6.9","388","movie"
37,"The Pinch Hitter",1917,"Sun Apr 29 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Comedy, Sport","Victor Schertzinger","C. Gardner Sullivan","Charles Ray, Sylvia Breamer, Joseph J. Dowling, Jerome Storm","Shy Joel Parker seems bound for nowhere, until Abbie Nettleton enters his life. With her prodding, Joel goes from timid nobody to a baseball star with bravura.","https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ5ZGI4NTQtZDBhYS00NDFkLThmNmMtMjI2OWUyZWY4NjVjXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg","tt0181765","4.2","5","movie"
38,"A Girl's Folly",1917,"Mon Feb 26 1917 00:00:00 GMT+1300 (DST)","65","USA","Comedy","Maurice Tourneur","Frances Marion, Maurice Tourneur","Robert Warwick, Doris Kenyon, June Elvidge, Jane Adair","A restless young girl yearns to leave her rural environment and ""get away from it all". One day she stumbles upon a film crew shooting a western near her home. She makes friends with the film's leading man, who encourages her to try her luck as an actress. So she leaves her small town and goes to the big city to break into the picture business. However, things don't turn out quite the way she planned.","https://images-na.ssl-images-amazon.com/images/M/MV5BODg5MTUwNTQxM15BMl5BanBnXkFtZTYwNTU4MTg5._V1_SX300.jpg","tt0008011","6.5","92","movie"
39,"The Spirit of '76",1917,"Mon Jan 01 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama, History, War","George Siegmann","Robert Goldstein, George L. Hutchin","Adda Gleason, Howard Gaye, George Chesebro, Dark Cloud","Catherine Montour (Adda Gleason), a striking half-breed Indian princess, and mistress of King George III (Jack Cosgrove) aspires to become the first Queen of America when the revolution breaks out.",,"tt0182444","5.5","11","movie"
40,"The New Mission of Judex",1917,"Mon Jan 28 1918 00:00:00 GMT+1300 (DST)","374","France","Adventure","Louis Feuillade","Arthur Bernède, Louis Feuillade","René Cresté, Marcel Lévesque, Yvette Andréyor, Édouard Mathé","Is a continuation of the film series ""Judex" the masked fighter for justice.","http://ia.media-imdb.com/images/M/MV5BNzgyMjIyMTczMV5BMl5BanBnXkFtZTgwMzU4ODUxMzE@._V1_SX300.jpg","tt0008371","6.6","9","movie"
41,"Chernaya lyubov",1917,"unknown","unknown","Russia","unknown","Vladimir Strizhevsky","Vladimir Strizhevsky","Zoya Barantsevich, Lev Kuleshov, Vladimir Strizhevsky","unknown",,"tt0007790",,,"movie"
42,"A Tale of Two Cities",1917,"Sun Mar 11 1917 00:00:00 GMT+1300 (DST)","70","USA","Drama, History, Romance","Frank Lloyd","Charles Dickens, Frank Lloyd, Frank Lloyd","William Farnum, Jewel Carmen, Charles Clary, Herschel Mayall","Alcoholic lawyer Sydney Carton travels to Paris during the Reign of Terror to rescue French aristocrat Charles Darnay, husband of the woman he loves.",,"tt0008652","6.3","66","movie"
43,"The Immigrant",1917,"Sun Jun 17 1917 00:00:00 GMT+1200 (STD)","30","USA","Short, Comedy, Drama","Charles Chaplin","Charles Chaplin","Charles Chaplin, Edna Purviance, Eric Campbell, Albert Austin","Charlie is on his way to the USA. He wins in a card game, puts the money in Edna's bag (she and her sick mother have been robbed of everything). When he retrieves a little for himself he is accused of being a thief. Edna clears his name. Later, broke, Charlie finds a coin and goes into a restaurant. There he finds Edna, whose mother has died, and asks her to join him. When he reaches for the coin to pay for their meals it is missing (it has fallen through a hole in his pocket).","https://images-na.ssl-images-amazon.com/images/M/MV5BMmMwZjdmZmUtYTY5ZS00ZTBkLWEyOTEtNjdmZmU0ZDFlZDk3XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg","tt0008133","7.8","5345","movie"
44,"The Easiest Way",1917,"Sun Apr 01 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama, Romance","Albert Capellani","Eugene Walter, Albert Capellani, Frederick Chapin","Clara Kimball Young, Louise Bates, Joseph Kilgour, Rockliffe Fellowes","Laura, a young woman from an impoverished desiring to be an actress, finds achieving success to be more of a struggle than she anticipated. She meets the wealthy Willard Brockton, and seduced by his gifts, realizes she will no longer have to financially struggle if she takes ""The Easiest Way" and become his mistress. While living the high-life of luxury, she meets and falls in love with writer John Madison, who forgives her past transgressions as she was so desperate to escape poverty. Madison has to leave her to make his fortune to get enough money so they can marry, and while they are separated, Laura falls back on hard times. She returns to her wealthy benefactor, Brockton, and becomes his mistress. When a wealthy Madison returns two months later, he finds out what she has done and rejects her. Brockton also abandons her, repulsed by her greed. Laura must now find another man to support her or commit suicide.",,"tt0007878",,,"movie"
45,"Jim Bludso",1917,"Sun Feb 04 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama","Tod Browning, Wilfred Lucas","Tod Browning, John Hay","Wilfred Lucas, Olga Grey, Georgie Stone, Charles Lee","unknown",,"tt0008148",,,"movie"
46,"A Country Hero",1917,"Mon Dec 10 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Short, Comedy","Roscoe 'Fatty' Arbuckle","Roscoe 'Fatty' Arbuckle","Roscoe 'Fatty' Arbuckle, Buster Keaton, Al St. John, Alice Lake","This was the film debut of Joe Keaton, Buster's dad. In one scene he kicks each of the principals into a horse trough. Roscoe owns a blacksmith shop and Joe a garage in the town of ...","https://images-na.ssl-images-amazon.com/images/M/MV5BNjYxYjkzYjUtMTM0YS00MjY0LWI2YWYtNzZjMzFlMGVmMGRlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","tt0007825","7","31","movie"
47,"The Price Mark",1917,"Sun Oct 21 1917 00:00:00 GMT+1300 (DST)","50","USA","Drama","Roy William Neill","John B. Ritchie","Dorothy Dalton, William Conklin, Thurston Hall, Adele Farrington","unknown",,"tt0008449",,,"movie"
48,"The Ragged Messenger",1917,"unknown","unknown","unknown","Drama","Frank Wilson","William Babington Maxwell","Violet Hopson, Gerald Ames, Basil Gill, George Foley","unknown",,"tt0269757",,,"movie"
49,"The Primrose Ring",1917,"Mon May 07 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Drama","Robert Z. Leonard","Marion Fairfax, Ruth Sawyer","Mae Murray, Tom Moore, Winter Hall, Billy Jacobs","unknown",,"tt0008460",,,"movie"
50,"A Love Sublime",1917,"Sun Mar 11 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama","Tod Browning, Wilfred Lucas","Samuel Hopkins Adams, Tod Browning, Wilfred Lucas","Wilfred Lucas, Carmel Myers, F.A. Turner, Alice Wilson","unknown",,"tt0008224",,,"movie"
51,"The Dark Road",1917,"Sun Apr 01 1917 00:00:00 GMT+1300 (DST)","unknown","USA","War, Drama","Charles Miller","J.G. Hawks, John Lynch","Dorothy Dalton, Robert McKim, Jack Livingston, John Gilbert","Jim Morrison, an English army officer who comes from a very old and prominent family, marries the ravishingly beautiful but unscrupulous Cleo, who has no qualms about using her sexual allure to get the luxuries she wants but that her husband can't provide. When Jim is sent off to war, Cleo embarks on a series of affairs, one of which results in her becoming the love slave of a German spy--the very spy that her husband has been assigned to track down.",,"tt0181443",,,"movie"
52,"Nan of Music Mountain",1917,"Wed Dec 12 1917 00:00:00 GMT+1300 (DST)","50","USA","Drama, Western","George Melford, Cecil B. DeMille","Beulah Marie Dix, Frank H. Spearman, Frank H. Spearman","Wallace Reid, Ann Little, Theodore Roberts, James Cruze","unknown",,"tt0008361",,,"movie"
53,"The Adventurer",1917,"Mon Oct 22 1917 00:00:00 GMT+1300 (DST)","24","USA","Comedy, Short","Charles Chaplin","unknown","Charles Chaplin, Edna Purviance, Eric Campbell, Henry Bergman","Charlie escapes from prison. After rescuing a girl and her mother from drowning, Charlie is invited to their home where a big party is held and he is treated like a hero. However, as a result Charlie's photo is printed in the newspapers and the prison guards come after him.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTczODgwMDc0MV5BMl5BanBnXkFtZTcwMTY4NjYxOA@@._V1_SX300.jpg","tt0007613","7.5","2550","movie"
54,"Hands Up!",1917,"Sun Apr 29 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Western","Tod Browning, Wilfred Lucas","Al J. Jennings, Wilfred Lucas","Wilfred Lucas, Colleen Moore, Monte Blue, Beatrice Van","unknown",,"tt0008042",,,"movie"
55,"The Bronze Bride",1917,"Mon Apr 02 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Drama, Western","Henry MacRae","J.R. Burkey, Maud Grange, W.B. Pearson","Claire McDowell, Frank Mayo, Edward Clark, Charles Hill Mailes","A white fur-trapper, Harvey Ogden (Frank Mayo)) takes an Indian maiden, A-Che-Chee (Claire McDowell), as his bride, a union that meets with much disapproval when they return to civilization...","http://ia.media-imdb.com/images/M/MV5BMTc1OTYxMTY5M15BMl5BanBnXkFtZTYwMTU4MTg5._V1_SX300.jpg","tt0007753",,,"movie"
56,"Over the Fence",1917,"Sun Sep 09 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Short, Comedy, Sport","Harold Lloyd, J. Farrell MacDonald","unknown","Harold Lloyd, 'Snub' Pollard, Bud Jamison, Bebe Daniels","Snitch steals Ginger's baseball tickets and takes Ginger's girl to the game. Finding himself without tickets, Ginger dresses as a baseball player and wins the game.",,"tt0008401","5.4","46","movie"
57,"The Secret Game",1917,"Mon Dec 03 1917 00:00:00 GMT+1300 (DST)","67","USA","Drama","William C. de Mille","Marion Fairfax, Marion Fairfax, Marion Fairfax","Sessue Hayakawa, Jack Holt, Florence Vidor, Mayme Kelso","Dr. Ebell Smith, whose real name is Schmidt, is a German secret agent working on the west coast of the USA. One of his associates is Kitty Little, a young woman who idealizes both Germany and her brother, who is in the Kaiser's army. They have been obtaining American military secrets through their contact with Major Northfield, who is in charge of a quartermaster depot. Nara-Nara, a young man serving in the secret service of Japan, which is allied with the USA, knows that there is a security leak in Northfield's office. An important troop transport order is soon to come through, and Smith abducts Northfield's secretary so that Kitty can take her place. Meanwhile, Nara-Nara sets up an office as an importer next to Northfield's office, in hopes of learning how the Germans are obtaining their information.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NjQ3NDY5OV5BMl5BanBnXkFtZTYwODc1Mjc5._V1_SX300.jpg","tt0008550","6.4","64","movie"
58,"Lonesome Luke's Honeymoon",1917,"Sun May 20 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Comedy, Short","Hal Roach","unknown","Harold Lloyd, Bebe Daniels, 'Snub' Pollard, Arthur Mumas","unknown",,"tt0008206",,,"movie"
59,"Mothers of Men",1917,"Thu Nov 01 1917 00:00:00 GMT+1300 (DST)","unknown","USA","Drama","Willis Robards","Hal Reid, Hal Reid","Dorothy Davenport, Willis Robards, Hal Reid, Mrs. Hal Reid","unknown",,"tt0008329",,,"movie"
60,"The Beautiful Lie",1917,"Mon May 21 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Drama","John W. Noble","June Mathis, Ella Wheeler Wilcox","Frances Nelson, Harry Northrup, Edward Earle, Elsie MacLeod","unknown",,"tt0167033",,,"movie"
